Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_available,Ratings,Route_name,Route_link
UPSRTC - GRH0165,Ordinary Non AC Seater 2+3,15:30,22:00,06h 30m,INR 459,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0089,Ordinary Non AC Seater 2+3,16:01,23:59,07h 58m,INR 480,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0119,Shatabdi AC Seater 2+2,16:16,21:16,05h 00m,INR 648,30 Seats available,"3.3
19",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0130,Janrath AC Seater 2+3,17:31,22:31,05h 00m,INR 570,48 Seats available,"2.8
10",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BLY0111,Janrath AC Seater 2+2,19:01,23:45,04h 44m,INR 648,36 Seats available,"4.6
7",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - HDD0063,Ordinary Non AC Seater 2+3,19:25,02:42,07h 17m,INR 495,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - GRH0203,Ordinary Non AC Seater 2+3,19:30,02:00,06h 30m,INR 493,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - RKD0128,Janrath AC Seater 2+2,20:01,01:01,05h 00m,INR 648,36 Seats available,"3.3
19",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - GRH0274,Ordinary Non AC Seater 2+3,20:31,03:00,06h 29m,INR 493,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - SRG0227,Ordinary Non AC Seater 2+3,20:33,02:40,06h 07m,INR 444,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BLY0794,Janrath AC Seater 2+2,20:40,01:40,05h 00m,INR 648,36 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - GRH0273,Ordinary Non AC Seater 2+3,21:00,03:30,06h 30m,INR 493,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - BRT0007,Ordinary Non AC Seater 2+3,21:25,04:00,06h 35m,INR 492,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - STD0354,Ordinary Non AC Seater 2+3,21:27,03:42,06h 15m,INR 492,52 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - LNI0017,Rajdhani Non AC Seater 2+3,21:31,03:00,05h 29m,INR 459,51 Seats available,3.3,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
FlixBus,Bharat Benz A/C Seater (2+2),23:50,05:05,05h 15m,INR 440.18,21 Seats available,4.5,Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
RS YADAV SMART BUS,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05:55,05h 56m,INR 999,12 Seats available,"4.3
25",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),19:30,01:30,06h 00m,494,14 Seats available,"4.0
17",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
New Khaira Transport,A/C Seater / Sleeper (2+2),23:10,06:00,06h 50m,INR 500,3 Seats available,"2.2
60",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),17:00,23:20,06h 20m,584,24 Seats available,"2.7
86",Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
UPSRTC - GND0081,Ordinary Non AC Seater 2+3,15:30,21:30,06h 00m,INR 468,52 Seats available,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - RKD0882,Shatabdi AC Seater 2+2,15:45,20:45,05h 00m,INR 648,37 Seats available,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - RPD0021,Ordinary Non AC Seater 2+3,15:50,21:50,06h 00m,INR 459,52 Seats available,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - STD0147,Ordinary Non AC Seater 2+3,16:00,23:15,07h 15m,INR 448,52 Seats available,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - BLP0032,Ordinary Non AC Seater 2+3,16:01,22:00,05h 59m,INR 468,52 Seats available,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HDD0085,Ordinary Non AC Seater 2+3,16:06,00:25,08h 19m,INR 444,52 Seats available,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
UPSRTC - HDD0008,Ordinary Non AC Seater 2+3,16:30,23:50,07h 20m,INR 450,52 Seats available,3.3,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
