Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_available,Ratings,Route_name,Route_link
KSRTC (Kerala) - 1029,Super Fast Non AC Seater (2+3),00:00,05:35,05h 35m,INR 269,48 Seats available,"2.5
5",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2518,Swift Deluxe Non AC Air Bus (2+2),00:11,04:54,04h 43m,INR 309,38 Seats available,"3.6
7",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 3546,Super Express Non AC Seater Air Bus (2+2),00:25,05:05,04h 40m,INR 309,34 Seats available,3.1,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2072,Super Express Non AC Seater Air Bus (2+2),00:30,04:50,04h 20m,INR 268,35 Seats available,"2.9
5",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 698,Super Fast Non AC Seater (2+3),00:45,05:39,04h 54m,INR 230,19 Seats available,"1.4
9",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Madhavi Travels,A/C Semi Sleeper (2+2),00:15,06:15,06h 00m,599,30 Seats available,"3.2
16",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Cochin Bus,A/C Sleeper (2+1),00:30,06:00,05h 30m,INR 800,12 Seats available,4.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Adrin Travels,A/C Seater/Sleeper (2+1),01:20,05:50,04h 30m,INR 700,19 Seats available,"3.6
10",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Madhavi Travels,A/C Sleeper (2+1),01:30,06:15,04h 45m,INR 799,15 Seats available,"3.6
5",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,555,30 Seats available,"3.2
150",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 581,Super Express Non AC Seater Air Bus (2+2),10:00,16:20,06h 20m,INR 377,25 Seats available,"4.1
26",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:00,18:20,06h 20m,INR 524,28 Seats available,"4.0
28",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 1210,SWIFT-HYBRID NON AC SEATER CUM SLEEPER,12:55,19:15,06h 20m,INR 475,32 Seats available,"4.6
7",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,19:10,05h 24m,INR 576,35 Seats available,"3.4
14",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,21:00,06h 45m,INR 524,36 Seats available,"4.0
10",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,21:40,06h 15m,INR 576,33 Seats available,"2.6
27",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:00,22:35,06h 35m,INR 475,28 Seats available,"3.7
11",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 380,Swift Deluxe Non AC Air Bus (2+2),16:15,22:50,06h 35m,INR 475,37 Seats available,3.9,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,00:10,07h 25m,INR 548,37 Seats available,3.9,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:00,02:40,07h 40m,INR 548,37 Seats available,"4.7
5",Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
