Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_available,Ratings,Route_name,Route_link
TGSRTC - 8176,Super Luxury (Non AC Seater 2+2 Push Back),04:15,10:25,06h 10m,INR 429,30 Seats available,"4.6
21",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8073,Super Luxury (Non AC Seater 2+2 Push Back),05:00,11:25,06h 25m,INR 429,31 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8189,Lahari Non A/C Sleeper Cum Seater,05:30,11:40,06h 10m,INR 429,43 Seats available,"4.1
12",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8071,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:00,12:25,06h 25m,INR 429,45 Seats available,"4.4
6",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8129,Super Luxury (Non AC Seater 2+2 Push Back),06:15,12:25,06h 10m,INR 429,31 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8075,Super Luxury (Non AC Seater 2+2 Push Back),06:30,12:55,06h 25m,INR 429,30 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8097,Super Luxury (Non AC Seater 2+2 Push Back),06:45,12:55,06h 10m,INR 429,31 Seats available,"3.6
5",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8173,Super Luxury (Non AC Seater 2+2 Push Back),07:00,13:10,06h 10m,INR 429,31 Seats available,"3.3
5",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8146,Super Luxury (Non AC Seater 2+2 Push Back),07:20,13:45,06h 25m,INR 429,31 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8163,Super Luxury (Non AC Seater 2+2 Push Back),07:35,13:45,06h 10m,INR 429,43 Seats available,"1.8
12",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8024,Super Luxury (Non AC Seater 2+2 Push Back),08:00,14:10,06h 10m,INR 429,24 Seats available,"4.2
9",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8063,Super Luxury (Non AC Seater 2+2 Push Back),08:30,14:55,06h 25m,INR 429,31 Seats available,"3.9
11",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8183,Super Luxury (Non AC Seater 2+2 Push Back),08:50,15:00,06h 10m,INR 429,30 Seats available,"2.4
15",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8055,LAHARI A/C SLEEPER CUM SEATER,09:30,15:55,06h 25m,INR 468,43 Seats available,"3.1
17",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8036,Super Luxury (Non AC Seater 2+2 Push Back),10:00,16:10,06h 10m,INR 429,31 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
DNR Express,AC Sleeper (2+1),21:30,02:00,04h 30m,799,33 Seats available,"3.2
16",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
Morning Star Travels,A/C Sleeper (2+1),03:40,10:15,06h 35m,INR 690,19 Seats available,"2.2
12",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
Orange Tours And Travels,Scania AC Multi Axle Sleeper (2+1),05:00,09:15,04h 15m,INR 1100,14 Seats available,"2.5
41",Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 7194,Super Luxury (Non AC Seater 2+2 Push Back),00:05,05:20,05h 15m,INR 392,30 Seats available,"4.3
31",Godavarikhani to Hyderabad,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad
TGSRTC - 7104,Super Luxury (Non AC Seater 2+2 Push Back),04:00,08:45,04h 45m,INR 392,29 Seats available,"3.3
11",Godavarikhani to Hyderabad,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad
TGSRTC - 7186,Super Luxury (Non AC Seater 2+2 Push Back),05:00,09:30,04h 30m,INR 392,28 Seats available,"4.6
45",Godavarikhani to Hyderabad,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad
TGSRTC - 8018,Rajdhani (AC Semi Sleeper 2+2),05:40,10:05,04h 25m,INR 428,31 Seats available,3.8,Godavarikhani to Hyderabad,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad
TGSRTC - 7200,Super Luxury (Non AC Seater 2+2 Push Back),05:45,10:35,04h 50m,INR 392,31 Seats available,"4.2
11",Godavarikhani to Hyderabad,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad
