Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_available,Ratings,Route_name,Route_link
Bihar state road transport corporation (BSRTC) - 142944,Non AC Seater (2+2),06:00,10:30,04h 30m,INR 230,31 Seats available,"3.7
86",Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Bihar state road transport corporation (BSRTC) - 147264,AC Seater (2+2),06:30,10:30,04h 00m,INR 275,21 Seats available,"4.0
153",Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Bihar state road transport corporation (BSRTC) - 146158,Non AC Seater (2+2),09:00,13:00,04h 00m,INR 230,32 Seats available,"3.7
20",Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,01:00,03h 40m,INR 230,33 Seats available,"4.0
12",Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Saurabh Travels,A/C Seater Push Back (2+2),10:30,14:00,03h 30m,INR 350,42 Seats available,1.0,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),12:15,16:15,04h 00m,INR 220,35 Seats available,2.2,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Ramna Travels,NON A/C Seater (2+2),12:45,16:00,03h 15m,INR 240,7 Seats available,"1.3
8",Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),15:30,19:30,04h 00m,INR 220,35 Seats available,"2.2
4",Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,04:00,06h 00m,495,54 Seats available,"4.5
4",Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,03:15,04h 55m,495,54 Seats available,3.1,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,14:00,04h 30m,405,60 Seats available,"2.0
5",Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Panwar Travels,A/C Sleeper (2+1),10:04,15:40,05h 36m,2850,36 Seats available,2.7,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Shree Balajee Travels And Cargo,NON A/C Seater/ Sleeper (2+1),13:00,16:30,03h 30m,INR 1999,40 Seats available,1.2,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),13:53,19:20,05h 27m,INR 400,12 Seats available,1.1,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Bihar state road transport corporation (BSRTC) - 142944,Non AC Seater (2+2),06:00,11:00,05h 00m,INR 285,31 Seats available,"3.3
144",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Bihar state road transport corporation (BSRTC) - 147264,AC Seater (2+2),06:30,12:35,06h 05m,INR 331,21 Seats available,"3.4
156",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Bihar state road transport corporation (BSRTC) - 146158,Non AC Seater (2+2),09:00,15:00,06h 00m,INR 285,32 Seats available,"3.5
31",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di,AC Seater (2+2),05:40,12:05,06h 25m,405,41 Seats available,3.7,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di,AC Seater (2+2),05:43,12:00,06h 17m,405,41 Seats available,"3.7
2",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di,AC Seater (2+2),05:45,11:50,06h 05m,405,41 Seats available,3.7,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di,AC Seater (2+2),05:47,12:03,06h 16m,405,41 Seats available,3.7,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,05:00,06h 40m,495,54 Seats available,"3.6
46",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,04:00,05h 20m,INR 450,25 Seats available,"3.4
19",Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
