Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_available,Ratings,Route_name,Route_link
HRTC - 1468,Ordinary 3+2 Non AC Seater,09:15,21:20,12h 05m,INR 567,36 Seats available,4.2,Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
HRTC - 416,Ordinary 3+2 Non AC Seater,17:10,04:15,11h 05m,INR 634,37 Seats available,"4.4
8",Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
HRTC - 587,Ordinary 3+2 Non AC Seater,18:25,03:30,09h 05m,INR 580,34 Seats available,"4.2
22",Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
HRTC - 540,Ordinary 3+2 Non AC Seater,19:00,08:00,13h 00m,INR 731,37 Seats available,4.2,Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
HRTC - 552,Ordinary 3+2 Non AC Seater,19:45,05:00,09h 15m,INR 580,32 Seats available,"4.2
61",Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:20,05:55,08h 35m,760,24 Seats available,"4.7
398",Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
Bedi Travels,Volvo A/C Semi Sleeper (2+2),21:30,06:15,08h 45m,701,32 Seats available,"4.8
130",Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:45,05:55,08h 10m,664,32 Seats available,"4.8
128",Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),21:00,06:10,09h 10m,INR 699,34 Seats available,"4.5
407",Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
Northern Travels,Volvo A/C Semi Sleeper (2+2),21:30,06:40,09h 10m,INR 600,31 Seats available,"4.7
66",Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
